CLID	FL1_NR	FL1.2_NR	FL10_NR	FL11b_CR	FL12_NR	FL13_NR	FL13.2_NR	FL14_NR	FL15_PR	FL16_PR	FL2_PR	FL3b_NR	FL4_CR	FL5b_CR	FL6_CR	FL6.2b_CR	FL7b_PR	FL8_PR	FL8.2_PR	FL9_NR	Spleen2	Spleen1	Tonsil2	Tonsil1
IMAGE:244147	-0.446	-0.394	-0.797	-1.019	0.412	-0.39	-0.315	-0.144	-0.292	-0.863	-0.733	0.414	-0.781	0.819	0.145	0.192	0.932	0.461	0.76	-0.441	2.549	2.073	0.284	0.263
IMAGE:754702		-0.601	0.135	0.529	-0.227	-0.132	-0.872			1.462	0.087	1.372	0.826	1.074	-0.386	0.002	0	0.033	-0.829	0.22	-0.72	-1.359	-0.424	-0.246
IMAGE:487861	0.015	-0.061	-0.933	-0.012	-0.276	-0.823	0.297	-0.35	0.259	-1.477	0.239	-0.758	0.013	0.765	0.118	0.45	-0.64	-0.191	0.243	0.048	-1.097	-1.403	0.86	0.83
IMAGE:429811	-0.078	-0.514	0.171	0.216	-0.83	0.518	-0.042		-0.157	0.025	0.324	-1.299	0.313	0.185	0	0.169	0.109	0.271	0.576	-0.253	-1.951	-2.644	-0.362	-0.401
IMAGE:841008	1.05	0.072	-0.772	0.203	1.442	-0.417	1.791	1.589	-0.606	-0.072		-0.284	1.046		-0.706	-0.314	0.126	-0.356	-0.267	1.285	0.562	-1.125	-0.138	0.361
IMAGE:823851	0.14	-0.2	0	-0.13	1.83	-0.61	-0.17		-0.05	-0.72	-0.04	1.132	-0.3	-0.21	0.19	0.09	0.69	1.24	0.22	-0.2	1.98	1.15	0.42	-0.44
IMAGE:786680	0.117	-0.014	-0.66	0.059	0.292	-1.107	0.723	0.334	-0.626	0.015	-1.041	0.215	-0.236	0.34	-0.165	0.56	0.149	-0.128	-0.282	0.117	-0.558	-1.287	-0.274	0.039
IMAGE:362926	0.255	0.252	-0.719	0.295	-1.083	0.636	0.072	-0.82	0.265	-1.254		-2.203	0.635	-1.199	0.674	-0.04	0.789	0.51		0.041	-2.662	-3.179	-0.188	-0.441
IMAGE:759865	-1.07		-0.619	0.258	0.657	0.227	0.749	0.049	-1.313		0.067	0.151	0.861	-0.209	-0.049	-0.679	-0.048	0.293	-0.183	0.128	-0.746	1.1	-0.242	-0.061
IMAGE:307231	0.527	0.889	-0.447	0.738	2.538	0		-0.228	-0.855	-0.257	-0.196	0.862	0.497	-1.374	-0.21	-0.005	0.573	0.196	-0.057	1.036	1.558	1.154	-0.967	-0.159
IMAGE:200018	-0.706	-1.015	0.398	0.469	-1.563	0.415	-0.896	-0.12	-0.473	-0.405	0.785	0.634	1.007	0.234	0.293	-0.392	-0.347	0.174	0.12	0.716	-0.388	-4.621	0.152	-0.283
IMAGE:784035	0.194	0.125		-1.112	-0.496	-0.283	0.143	-0.321	0.268	0.267	-0.546	-0.671	-0.115	0.38	0.115	0.635	0.302		0.141	0.26	-1.134	-1.744	-0.23	-0.18
IMAGE:196115	0.071	-0.686	-0.594	1.029		-0.671	1.473	0.501	-0.327	-0.499	-0.227		0.574		0	0.686	0.412	0.329	-0.361	1.037	0.185	-0.768	-0.179	-0.012
IMAGE:503545	-0.144	0.009	-0.156	0.711	-0.588	1.048	0.398		0.715	0.632	-0.304	-0.995	-0.009	0.43	-0.616	0.324	0.772		0.951	0.091	-2.885	-3.825	-0.101	-0.129
IMAGE:276468	-1.655	-0.168	-1.112	1.522	-0.04	0.617	0.097	0	-2.57	1.441	0.951		-1.03	-1.74	1.092	0.68	0.481	-0.782	1.301	0.042	-0.658	-0.954	0.263	-0.111
IMAGE:491184	-0.366	0.511	-0.891	-0.54	1.017	-0.312	-0.988	-0.035	-1.358	0.474	0.268	0.034	-0.059	-1.272	1.681	2.334	0.047	-1.424	-1.348	-0.959	1.662	0.785	0.366	0.381
IMAGE:72000	0.141	0.221	0.118	-0.216	-0.777	0.551	0.275	0	0.822	-0.411	0.208	-0.398	0.31	-0.278	-0.09		-1.444	0.207	0.892	0.082	-1.203	-1.42	-0.08	-0.268
IMAGE:755299	0.589	-0.1	-0.023	-0.372	1.354	0.057	-0.361	0.561	-0.615	-0.104	-0.305	0.938	-0.782	-1.104	-0.171	0.428	-0.397	-0.502	0.419	0.11	1.227	0.228	0.269	0.024
IMAGE:771004	0.41	-0.365	1.032	-0.157	0.134	-0.097	0.441	0.408	1.3	-0.55	0.187	-0.902	0.63	1.673	0.623		-0.497	-0.727	0.2	0	-0.342	-0.597	-0.38	-0.409
IMAGE:810482	-0.505	0.054	0.555		0.025	0.674	-0.156		0.406	0.328		-1.943	-0.239	-0.024	0.347	0.484	0.285		1.154	-0.175	-0.605	-1.192	-0.158	-0.272
IMAGE:1472753			-0.503	0.16	0.005	-0.435	0.694	0	1.016	-0.281	0.789	-0.122	0.363	0.387	-0.045	0.593	-0.808	-0.148	0.312	0.087	-1.012	-1.214	-0.005	
IMAGE:142139	0.328	0.272	-0.363	0.381	1.053	-0.099	0.063	0.684	-1.355	-0.135	-1.073	0.445	-0.189	-0.36	-0.072	0.395	0.373	-0.53	0.523	0.423	-0.282	-0.25	-0.064	0.205
IMAGE:294611	-1.174	-0.229	0.216	0.196	-0.065	-0.02	0.032	0.888	0.479	1.419	0.305	-0.441	-0.064	-0.176	1.007		-0.581	0	0.943	-0.318	-0.479	-0.038	0.373	0.117
IMAGE:823871	0.505			0.337	1.301	0.095	0.541		-0.819	-0.29	-0.41	1.218	-0.559		0.567	-0.896	0.586	0.264	-0.095	1.198	-0.201	-0.747	-0.246	-0.633
IMAGE:454440	0.288	0.313	0.249	0.911	-0.398	0.422	-0.131		1.003	0.145	-0.265		0.719	-0.05	-0.037	-0.022	0.021	0.142	0.25	-0.311	-1.145	-1.34	-0.349	-0.563
IMAGE:240208	0		0.456	-0.585	-0.829	0.4	-0.804	-0.592	1.057	-1.461	-0.055	-0.545	0.072	1.235	0.167	0.463	0.398	0.256	-0.033	-0.486	-1.808	-1.481	0.027	0.098
IMAGE:782841		0.282	-0.157	-0.087	0.338	-1.119		1.391		0.388	0.662	-0.368	0.063	-0.765	-0.033	-0.454	-0.011	-0.893		-0.409	0.426	3.606	0.012	0.373
IMAGE:328613	-0.252		0.322	0.521	-0.227	0.077	0.316	0.222	1.437	-0.189	0.178	0.443	-0.303	-0.312	-0.476	0.129	-1.077	0.566	0.24	-0.035	-1.234	-0.891	-0.036	0
IMAGE:145292	-0.038	0.023	-0.278	-0.43	0.623	-0.219	1.341	0.178	-0.473	-0.854	-0.068	0.624	-0.414	-0.074	0.329	0.67	-1.306	0.509	2.297	0.138	-0.022	0.095	0.096	-0.382
IMAGE:767706	0.376	-0.126	-0.382	-0.506	1.698	-0.6	0.125	0.717	-0.178	0.234	0.418	1.02	-0.087	-0.069	-0.044	0.232	0.043	-0.625	-1.738	1.371	0.733	0.997	-1.346	-0.484
IMAGE:724112	0.711	0.781	-0.101	0.02	-0.07	0.31	-0.546	-0.61	0.094	1.125	0.305	0.391	-0.02	0.238	0.076	1.686	0.168	-0.219	-0.557	-0.209	-0.614	-1.73	-0.052	-0.353
IMAGE:897731	0.344	0.578	-0.168	0.609	0.067	0.42	-1.124		1.003	0.029		-0.479	0.598	-0.546	-0.137	0.226	-0.15	-0.327	0.415	-0.112	-0.214	-1.02	-0.02	0.019
IMAGE:504705	0.415	0.274	-0.1	0.022	-0.463	0.096		0.341	0.401	-0.052	0	-1.219	0.157	-0.011	-0.326	0.23	-0.054	0.111	-0.201	0.308	-1.2	-1.266	-0.29	0.02
IMAGE:436554		1.126	0.36	-1.046	0	-0.013	-0.673	0.296	-0.788	-0.558	-0.742	-0.815	-0.818	0.07	-0.44	0.07	-0.467	0.313	-0.639	0.181	0.208	3.122	0.277	0.389
IMAGE:502397	0.135	0.402	-0.45	-0.02	-0.893	0.446	-0.051	-0.794	0.349	-0.243	-0.507	-2.701	0.342	0.965	0.072	0.368	0.29	0.197	0.918	-0.051	-2.213	-3.15	0.02	-0.205
IMAGE:202199	0.124	0.344	-0.279	0.846	-0.367		0.286	-0.252	0.932	0.278	-0.499	-1.297	0.67	-0.126	0	0.611	0.594	-0.048	0.622	0.153	-1.642	-2.631	-0.394	-0.282
IMAGE:504555	0	0.217	-0.792	0.763	-0.622	-0.81	0.287	0.307	-0.082	-1.766	0.454	-0.354	0.495	0.361	0.059	-0.042	-0.841	0.012	0.517	-0.054	-1.168	-1.455	0.237	
IMAGE:129725	0.765	0.719	-0.238	0.232	0.618	-0.186	-0.283	1.067	-0.608	-0.294	-0.153	-0.007	0.008	-0.272	-0.764	0.25	-0.182	-0.43	-1.286	0.294	0.745	0.926	1.121	1.5
IMAGE:154654	0.065	0.255	0.235	-0.085	0.325	-1.233	0.39	-0.468	-0.62	-2.003	-0.065	-1.267	-0.325	0.215	-0.629	0.35	-1.85	-0.375	-1.085	0.645	0.425	0.195	0.545	0.475
IMAGE:85128	0.453	-1.311	-1.317	0.482	1.381	-1.481	0.854	1.034	-0.846	-0.521	0.147		0.864	-0.474	-1.009		0.536	-0.148	-1.47	1.458	3.066	3.644	-1.359	-0.447
IMAGE:187266	0.539	1.681	0.176	0.844	1.013	-0.76	-0.416	-0.575	-0.763	-0.777	-0.696	-0.377	-0.612	-0.889	-0.175	1.795	1.034	-0.372	-0.93	0.272	1.63	0.574	1.422	1.328
IMAGE:428272	-0.444	0.437	0.361	0.606	-0.584	0.307	-0.106		0.685	0.126	0.459	-1.587	-0.05	-0.08	0.315		0.049	0.274	0.46	-0.216	-1.701	-1.713	-0.438	-0.471
IMAGE:786302	0.452	0.413	-0.795	1.868	0.455	-1.444	-0.927	-0.319	-0.608	-0.391	-0.342	-0.687	1.089	-1.247	0.079	0.823	0.041	-0.291	-0.007	0.338	1.146	0.155	-0.022	0.007
IMAGE:756708	0.53	-0.249	-0.26	0.23	-1.256	0.334	-0.47	-0.431	0.699	1.06	0.868	-0.293	0.629	-1.245	0.355	0.511	-0.712	0.531		0	-1.157	0.155	-0.537	-0.835
IMAGE:626326	-0.252	-0.425	0.049	-0.111	-0.236	0.035	0.049	-1.034	0.15	0.483	0.149	0.156	-0.751	-0.875	0.116	0.135	-0.035	0.101	0.109	0.069	-1.398	-1.172	-0.768	-0.561
IMAGE:66686	0.85	1.14	-0.2	0.36	-0.03	-0.33	-0.16	0.84	0	0	0.21	-1.5	0.4	0.08	-0.21	0.63	-0.58	-0.18	0.04	0	-1.34	-2.97	-0.13	0.01
IMAGE:770444	-0.707	0.086	0.045	0.127	-1.64	0.699	-0.455	-0.682	0.228	0		-0.883	-0.248	0.404	0.402	0.642	0.255	0.443	0.446	-0.45	-3.112	-4.723	-0.705	-0.592
IMAGE:309499	0.474	-0.597	-0.835	2.879	-1.216	-0.594		0.958	2.219	-1.788	0	1.913	2.646	-1.416	-2	-1.972	2.405	1.238	-1.558	0.761	-0.578	-1.157	0.615	0.736
IMAGE:753313	0.126	0.44	0.01	0.044	-1.376	0.565	-0.322	-0.152	0.549	0.465	0.507	-1.791	-0.101	0.546	-0.085	0.076	-0.151	-0.011	0.545	-0.318	-1.643	-3.304	-0.048	0.143
IMAGE:626793	-0.36	0.328	-0.037	0.169	-0.807	0.251	-0.332	0.027	0.079	0.634	0.132	1.117	-0.522	0.718	-0.026	0.271	-0.215	-0.5	-0.405	-0.253	-1.143	-1.875	0.071	0.085
IMAGE:195162	0.249	0.136	0.47	-0.215	0.139	-0.07	1.419	0.154	-0.583	-0.177	-0.998	-1.031	-0.017	-0.59	-0.214		0	-0.162	0.087	-0.211	1.156	0.924	0.384	0.192
IMAGE:967930	0.223	1.207	0.085	-0.794	-0.309	0.773	-0.027		0.356	-0.114	-0.605	-1.038	-0.526	-0.053	-0.286	0.393	0	-0.265	0.594	0.079	0.739	-0.111	3.233	3.328
IMAGE:344958	-0.386	-0.497	0.171	-0.045	0.853	-0.217	0.414	0.641	-2.028	-0.681	0.056	-0.44	-0.526	0.055	-0.441	0.035	0.069	-0.312	-1.083	-0.035	1.555	1.325	0.063	0.193
IMAGE:859586	-0.083	0.373	0	-0.307		-0.309	0.127	3.118	0.618	-0.047	-1.237	-0.63	-0.046	0.104	-0.402	-0.29	0.111	0.819	1.304	0.047	-1.253	-2.263	0.382	0.269
IMAGE:841386	0.344	0.038	1.23		-0.202	0.489	-0.372		1.225	-0.711	-0.514	0.41	0.55	-1.355	-0.271	0.4	-0.426	0.855	0.626	-0.129	0.045	-1.161	-0.038	-0.276
IMAGE:447786	-1.468	0	0.887	-0.18	-0.398	0.539	0.264	1.268	-0.128	-0.509	2.531	-0.312	1.539	-0.611	0.223		0.211	0.562	1.15	0.926	-0.811	-0.989	-0.521	-0.055
IMAGE:786283	-0.19	-0.079	0.234	0.185	-0.513	0.531	-0.528	0.38	0.008	-0.202	-0.589	1.059	0.072	1.449	-0.631	0.087	0.088	-0.811	-1.258	-0.008	-1.091	-0.388	0.436	0.37
IMAGE:768466	-0.428	0.292	0.033	0.187	-1.005	0.078		-0.057	-0.241	-0.249	0	1.016	0.684	0.499	0.46	0.903	0.022	0.066	-0.176	-0.621	-1.621	-1.214	-0.171	-0.014
IMAGE:704254	0	0.234	0.635	-0.221	-0.454	0.566		0.636	0.047	0.639	0.054	-0.787	-1.054	0.502	-0.397	-0.497	-0.074	-0.564	-0.002	-1.06	1.349	-0.306	0.336	0.051
IMAGE:878130	0.277		-0.069	0	0.343	-0.121	0.44	0.125	0.099	-0.015	-0.137	0.138	-0.211	0.357	-1.124	0.275	-0.456	-0.026	-0.209	0.153	-1.133	-1.368	0.086	0.113
IMAGE:283981			0.407	0.164	-0.687	0.1	0.302	-0.276	-1.223	0.301		-1.217	0.88	0.125	0.816		-0.185	0.536	0.65	-0.099	-1.435	-1.199	-0.33	-0.803
IMAGE:731376	-0.889	-1.146	0.625	0.605	-0.835	0.669	-0.092	-0.011	1.061	0.193	-0.037	0.549	-0.373	-0.344	0.684	0.643	0.277	0.848	0.437	0.011	-1.112	-2.716	-0.526	-1.191
IMAGE:45542	1.487	0.492	-1.335	0.338	2.471	-0.349	1.094		-0.3	-0.401	-0.304	-0.194	-0.332	-1.107	0.36	1.023	1.723		-0.586	0.79	0.055	-1.612	-0.056	0.176
IMAGE:235903	-0.395		-0.289	0.628	-0.088		-0.099	-0.199	-1.2	0.858	0.324	1.147	-0.002	0.645	0.001	1.101	0.048	-0.581	-0.522	-0.121	0.757	-1.704	0.142	0.142
IMAGE:809719	0	-0.33	-0.521		1.662	-0.883	-0.326	0.851	-1.433	-1.239	0.17	2.291	-1.11	0.415	-0.503	-0.167	-0.406	0.539	0.952	-0.227	2.12	1.073	0.429	0.912
IMAGE:305122	0.038	-0.02	-0.155	0.768	0.035	-1.347	-2.015	0.194	0.279	0	-2.055	0.38	2.122	0.115	0.596		-1.728	-1.893	-1.772	-0.055	-2.144	0.507	-1.783	0.134
IMAGE:785760	0.457		1.413	-0.206	0.947	0.03	-0.279		0.177	-0.166	-1.222	-0.137	-0.031	-0.141	-0.591	0.289	0.173	0.208	0.587	-0.084	2.366	2.618	-0.291	-0.51
IMAGE:323371	-0.176	0.585	0.187	-0.064	-0.274	0.006		0.261	-0.234	-0.527	0.948	-1.203	0	-0.538	-0.001	0.45	0.34	0.17	0.536	-0.171	-1.102	-1.202	0.403	0.364
IMAGE:898122	0.492	-0.271	-0.414	-0.005	2.216	0.005	0.335	-0.146	-1.124	-0.689	0.188	0.787	-0.123	-0.393	-0.291	0.527	1.007	0.72	-1.403	1.01	1.838	1.318	-0.942	-0.142
IMAGE:784126	-0.104	0.693	0	-0.076	-0.125	-0.17	-0.603		0.419	0.107	-0.271	-0.119	-0.225	0.995	-0.313	0.913	0.128	-0.02	-0.059	0.072	0.426	1.798	1.459	1.082
IMAGE:130541	-0.052		-0.105	0.57	1.191	0.16		-0.038	-0.274	-0.445	-0.215	0.587	-0.039	-0.279	-0.005	1.259	-0.213	-0.203	0.506	0.892	1.021	0.815	0.178	0.005
IMAGE:45327	0.157	0.379	-0.225	0.856	-0.547	0.696	0.234	-0.463	1.063	0.176	-0.939	-1.125	-0.236		0.128	0.437	0.442	0	0.765	-0.096	-1.924	-2.679	-0.324	-0.332
IMAGE:491692	-0.615	0.038	-0.16	-1.014	0.049	-0.726	0.25	-0.495	-0.578	-0.55	0.577	-0.241	-0.145	-0.139	0.266	1.067	-0.038	0.44	2.398	-0.336	0.257	0.139	0.066	0.117
IMAGE:365515	0.257	0.16	-0.655	-0.199	0.335	-0.182	0.368		-1.219	-1.052	-0.598	0.126	-0.022	0	0.319	0.074	0.443	0.108	0.39	0.013	-1.073	-1.279	-0.353	-0.379
IMAGE:970613	-0.016	0.202	-0.072	0.295	-1.027	0.012	-0.35	0.168	0.545	-0.045	0.286	-0.127	0.389	0.86	-0.304	0.278	-0.011	0.222	0.021	-0.084	-1.477	-1.157	0.215	-0.148
IMAGE:782259	-0.708	-0.079	-0.187	0.285	-0.592	-0.767	-0.324	0.555	-0.164	0.206	0.304		-0.103	1.947	0.079	0.559	0.238		-0.525	-0.105	-0.161	1.154	1.189	1.408
IMAGE:345525	0.388		0.366	-0.304	-0.298	0.533	0.045		0.823	0.159	0.035		-0.423	0.054	-0.124		-0.915	-0.33	-1.061	0.422	-1.175	-1.105	0.359	-0.034
IMAGE:563621	-0.635	-0.112	0.205	1.098	-0.34	0.669	-0.043	-0.657	0.539	0.41	0.084		0.596	-0.855	0.458	1.106		0.043	0.206	-0.105	-1.192	-3.032	-0.415	-0.858
IMAGE:501934	0		-0.122	-0.109	-0.458	0.11	-0.263	-0.55	0.431	-0.473	0.401	-1.37	0.146	0.38	0.079	0.361	0.192	0.377	0.21	0.13	-2.008	-2.53	-0.167	-0.29
IMAGE:256260	0.719	1.053	-0.436	0.196		-0.405	-0.229	0.343	0.152	0.058	-0.086	-1.181	0.267	0.385	-0.109	0.673	0.261	-0.202	0.116	-0.135	-1.073	-2.04	-0.367	0
IMAGE:135118		0.78	-0.055	-0.058	0.854	0.425	0.902	0.226	-0.07	-0.087	0.292	-0.563	0.099	-0.445	-0.102	0.366	1.187	-0.035	-1.347	1.439	0.138	-0.935	0	-0.16
IMAGE:365707	-0.529	-0.093	-0.206	0.047	0.22	-0.216		1.313		-0.157	0.271	0.178	-0.483	-0.16	-0.21	-1.117		0.031		-0.03	0.469	0.624	1.447	0.999
IMAGE:869538	-0.199	-0.765	-0.678	0.024	0.345	-1.408	-0.095	0.474	-0.734	-1.48	1.785	0.745	-0.024	0.122	-0.168	0.31	-0.972	-0.336	-0.927	0.199	0.507	0.735	0.178	0.316
IMAGE:205049	0.202	0.533	0.058	-0.536	0.524	0.099	0.289	0.48	-0.578	-0.325	-0.452	-0.118	-0.642	-0.978	-0.481	-0.058	-0.421	-0.394	-0.467	0.138	1.261	0.287	2.457	2.115
IMAGE:783849	-0.115	-0.298		0.448		0.075	1.289	-1.639	-0.498	-0.308	-0.388	0.323	0.028	0.198	-0.095		0.193	0	-0.177	0.231	-0.366	-1.083	0.136	0.054
IMAGE:769513	-1.191	-1.11	-0.197	-0.508	-0.793	-0.939		0.605	0.309	0	-0.998	0.571	-0.322	1.401	-0.173	-0.889	0.341	0.232	0.507	-0.098	0.001	2.26	0.614	0.48
IMAGE:595593	0.418	0.084	-0.456	-0.066	1.646	-0.307	0.569	0.63	-0.688	0.547	0.066	0.899	-0.285	-0.146	-0.263	0.29	-0.306	-0.56	-0.532	1.09	2.856	2.568	-0.548	-0.082
IMAGE:838732	-0.187	0.118	0.4	-1.165	-0.979	0.263	0.303	0.623	0.272	-0.098	1.01	-0.754	0.493	-0.594	0.81	1.53	-0.691	-1.561	-1.308	0.098	-0.712	-1.456	0.194	-0.216
IMAGE:306841	1.176	0.395	-0.232	0.082	0.69	-0.214	0.985	0.834	-0.066	0.066	0.474	-0.725	0.592	-0.974	-0.081	0.746	0.486	-0.512	-1.08	1.186	-0.412	-2.529	-0.164	-0.07
IMAGE:199355	1.111	-0.057	-1.265	0.196	-0.134	-0.005	0.512	1.505	-1.264	0.166	0.386	-0.178	2.117	0.005	0.628	-1.236	0.429	0.38	-0.098	-0.484	0.567	-1.334	-0.564	-1.289
IMAGE:376416	0.32	-0.231	-0.376	-0.111	1.444	-0.119	0.173	0.438	-0.862	-0.39	-1.333	1.771	-0.212	-0.384	-0.237	-0.022	0.352	0.022	-0.063	0.374	1.57	0.712	0.037	0.355
IMAGE:67696			-0.203	-0.383	1.198	-0.53	0.388	-0.002	-0.71	-0.093	-0.16	0.001	-0.155	-0.751	0.009	-0.22	0.372	-0.445	0.047	0.262	2.215	2.295	0.356	0.547
IMAGE:149547	-0.364	0.296	-0.16	0.467	-0.434	0.132	0.456	0				-0.386	1.092	-0.486	1.063	-0.006	0.206	0.22	0.049	0.303	-0.447	-1.4	-0.053	-0.567
IMAGE:136114	-0.715	-0.728	-0.086	0.631	-0.292	0.53	0.067		0.001	1.02	-0.268	0.012	-0.323	0.078	-0.044	-0.576	1.563	0.346	0.273	0	-1.773	-1.766	0.165	-0.453
IMAGE:788355	0.191	0.166	-0.411	-0.129	-0.939	-0.034	-0.201	0.266	-0.148	0.508	1.296	0.562	0.418	1.159	-0.048	0.034	-0.422	0.153	0.628	0.53	-0.922	-2.139	-0.291	-0.349
IMAGE:713974	0.07	-0.266	-0.204	0.836	0.883	-0.321	0.16	0.023	-2.592	-0.348	-0.06	0.618	0.234	-0.917	-0.179	-0.004	0.295	-0.049	0.004	0.588	1.465	0.797	-0.458	-2.716
IMAGE:813154	0.517	0.119	-0.51	-0.038	1.35	-0.269	-0.432		-0.588	-0.341		1.251	-0.182	-1.179	-0.276	0.174	0.719	-0.212	-0.36	0.209	0.853	1.939	0.345	0.039
IMAGE:724888	0.61	0.085	-0.07	-0.224	-0.05	0.66	0.92		-0.36	-0.5	-1.776	-0.12	-0.24	-0.45	0.27	0.71	0.5	-0.674	-0.432	0.29	0.28	0	2.59	2.29
IMAGE:770858	-0.02	-1.102	0.1	0.368	1.907	-0.272	0.559	-0.955	-0.374	0.02	-0.022	1.598	-0.326	-1.006	-0.357	-0.134	0.974	0.09	0.253	0.334	0.448	0.488	-0.796	-0.539
IMAGE:726695	-0.667	-0.34	0.811	0.814	-0.494	0.974	-0.543		0.622	1.317	0.138	0.792	-0.037	-0.2	0.102	0.393	0.316	0.653	-0.289	0	-2.263	-2.249	-0.645	-0.627
IMAGE:1031363	-0.233	0.574	0.234	-0.06	-0.663	0.866	-0.023	-1.38	0.949		0.261	-1.128	0.436	0.064	-0.395	0.32	0	0.005	0.513	0.004	-2.294	-1.669	-0.283	-0.44
IMAGE:435470	-0.453	-0.401	-0.11	-0.101	0.793		-0.402		-1.347	-0.025	0.026	0.699	0.174	0.23	-0.34	0.588	0.367	-0.514	-0.601	-0.174	1.635	2.184	0.267	0.301
IMAGE:244323	-0.49		-0.19	-0.342		0.424			0.024	-0.082	0.474	0.15	0.689	-1.012	1.51	-1.326	-0.429	-0.025	0.684	-0.069	0.534	0.154	0.098	-0.036
IMAGE:244058	-1.163	0.543	-0.007	-0.958	-1.002	-0.257	-0.842	0.723	0.463	-0.024	0.53	0.706	0.221	1.512	0.215	0.147	0.008	0.169	0.239	-0.574	-2.207	-2.011	-0.228	-0.188
IMAGE:204614	-0.024	0.233	-0.44	-0.114	-0.304	-0.164	0.196	0.024	0.746	-0.084	0.456	-2.934	-0.164	0.816	-0.024	0.476	0.246	-0.223	0.476	0.096	-1.614	-2.234	0.196	0.136
IMAGE:588915	1.216	0.351		-0.217	1.368	-0.09	-0.401		-1.257	-0.538	-0.606	0.633	-0.537	-0.765	-0.283	-0.588	0.09	-0.723	0.208	0.346	3.911	3.029	0.305	0.299
